source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,ufc_fight_id,ufc_event_id,ufc_event_name,ufc_event_date_iso,winner_name,fight_order,weight_class,match_method,match_similarity
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38727,Beneil Dariush,Renato Moicano,/fighters/beneil-dariush-4633,/fighters/renato-moicano-5598,"('beneil dariush', 'renato moicano')",b5f083d57baeb16d3f64,66766984842c13dc,,2025-06-28,Beneil Dariush,99,Lightweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,39087,Terrance McKinney,Viacheslav Borshchev,/fighters/terrance-mckinney-9286,/fighters/viacheslav-borshchev-12730,"('terrance mckinney', 'viacheslav borshchev')",c40566da916ffe297e11,66766984842c13dc,,2025-06-28,Terrance McKinney,99,Lightweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,39088,Hyder Amil,Jose Delgado,/fighters/hyder-amil-8178,/fighters/jose-delgado-18000,"('hyder amil', 'jose delgado')",dce06daf46afe0a7e030,66766984842c13dc,,2025-06-28,Jose Delgado,99,Featherweight Bout,exact_pair,1.0
ufc-3725,UFC,2025-06-29,https://www.bestfightodds.com/events/ufc-3725,38999,Brandon Royval,Joshua van,/fighters/brandon-royval-7031,/fighters/joshua-van-14745,"('brandon royval', 'joshua van')",ddc7770415a5b75d20c5,66766984842c13dc,,2025-06-28,Joshua Van,99,Flyweight Bout,exact_pair,1.0
ufc-fight-night-3749,UFC Fight Night,2025-07-13,https://www.bestfightodds.com/events/ufc-fight-night-3749,38912,Calvin Kattar,Steve Garcia,/fighters/calvin-kattar-717,/fighters/steve-garcia-2576,"('calvin kattar', 'steve garcia')",0bc0eccb8787a2d3acd2,7b03d9df5910917d,,2025-07-12,Steve Garcia,99,Featherweight Bout,exact_pair,1.0
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748,38901,Eduarda Moura,Lauren Murphy,/fighters/eduarda-moura-16318,/fighters/lauren-murphy-4580,"('eduarda moura', 'lauren murphy')",20832233c51d67fd23ae,7b03d9df5910917d,,2025-07-12,Eduarda Moura,99,Women's Flyweight Bout,exact_pair,1.0
ufc-fight-night-3749,UFC Fight Night,2025-07-13,https://www.bestfightodds.com/events/ufc-fight-night-3749,38920,Derrick Lewis,Tallison Teixeira,/fighters/derrick-lewis-2610,/fighters/tallison-teixeira-18424,"('derrick lewis', 'tallison teixeira')",2f3d764c67131d0e1957,7b03d9df5910917d,,2025-07-12,Derrick Lewis,99,Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3749,UFC Fight Night,2025-07-13,https://www.bestfightodds.com/events/ufc-fight-night-3749,39199,Gabriel Bonfim,Stephen Thompson,/fighters/gabriel-bonfim-11752,/fighters/stephen-thompson-3092,"('gabriel bonfim', 'stephen thompson')",3ce3b3291db1c8ce89c5,7b03d9df5910917d,,2025-07-12,Gabriel Bonfim,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748,38914,Fatima Kline,Melissa Martinez,/fighters/fatima-kline-11138,/fighters/melissa-martinez-7705,"('fatima kline', 'melissa martinez')",5b0bbecfec3f52a01a08,7b03d9df5910917d,,2025-07-12,Fatima Kline,99,Women's Strawweight Bout,exact_pair,1.0
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748,39200,Kennedy Nzechukwu,Valter Walker,/fighters/kennedy-nzechukwu-7454,/fighters/valter-walker-17371,"('kennedy nzechukwu', 'valter walker')",689e1f4e3afa92231d48,7b03d9df5910917d,,2025-07-12,Valter Walker,99,Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748,38917,Chidi Njokuani,Jake Matthews,/fighters/chidi-njokuani-2452,/fighters/jake-matthews-4978,"('chidi njokuani', 'jake matthews')",754eade04ee66002099a,7b03d9df5910917d,,2025-07-12,Jake Matthews,99,Welterweight Bout,exact_pair,1.0
ufc-fight-night-3749,UFC Fight Night,2025-07-13,https://www.bestfightodds.com/events/ufc-fight-night-3749,38918,Austen Lane,Vitor Petrino,/fighters/austen-lane-8254,/fighters/vitor-petrino-14346,"('austen lane', 'vitor petrino')",873f038e1badbc646453,7b03d9df5910917d,,2025-07-12,Vitor Petrino,99,Heavyweight Bout,exact_pair,1.0
ufc-fight-night-3748,UFC Fight Night,2025-07-12,https://www.bestfightodds.com/events/ufc-fight-night-3748,38898,Chris Curtis,Max Griffin,/fighters/chris-curtis-6020,/fighters/max-griffin-6581,"('chris curtis', 'max griffin')",b759d3f5dc7dea25bc70,7b03d9df5910917d,,2025-07-12,Chris Curtis,99,Welterweight Bout,exact_pair,1.0
