source_event_id,source_matchup_id,bookmaker_id,bookmaker_name,fighter_name,fighter_url,american_odds,event_name,event_date_iso,event_url
ufc-3123,33485,21,FanDuel,Marcus McGhee,/fighters/marcus-mcghee-14050,-260,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,24,Caesars,Marcus McGhee,/fighters/marcus-mcghee-14050,-270,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,25,BetRivers,Marcus McGhee,/fighters/marcus-mcghee-14050,-240,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,20,BetWay,Marcus McGhee,/fighters/marcus-mcghee-14050,-250,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,26,Unibet,Marcus McGhee,/fighters/marcus-mcghee-14050,-240,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,23,BetMGM,Marcus McGhee,/fighters/marcus-mcghee-14050,-225,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33485,22,DraftKings,Marcus McGhee,/fighters/marcus-mcghee-14050,-250,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33476,23,BetMGM,Ketlen Vieira,/fighters/ketlen-vieira-6585,-175,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33476,23,BetMGM,Macy Chiasson,/fighters/macy-chiasson-8148,+145,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,21,FanDuel,Farid Basharat,/fighters/farid-basharat-11791,-290,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,24,Caesars,Farid Basharat,/fighters/farid-basharat-11791,-320,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,25,BetRivers,Farid Basharat,/fighters/farid-basharat-11791,-295,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,20,BetWay,Farid Basharat,/fighters/farid-basharat-11791,-290,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,26,Unibet,Farid Basharat,/fighters/farid-basharat-11791,-295,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,23,BetMGM,Farid Basharat,/fighters/farid-basharat-11791,-275,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,22,DraftKings,Farid Basharat,/fighters/farid-basharat-11791,-375,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,21,FanDuel,Taylor Lapilus,/fighters/taylor-lapilus-5164,+235,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,24,Caesars,Taylor Lapilus,/fighters/taylor-lapilus-5164,+250,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,25,BetRivers,Taylor Lapilus,/fighters/taylor-lapilus-5164,+225,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,20,BetWay,Taylor Lapilus,/fighters/taylor-lapilus-5164,+230,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33480,26,Unibet,Taylor Lapilus,/fighters/taylor-lapilus-5164,+225,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
