source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,reason,candidate_count
ufc-3441,UFC,2024-08-25,https://www.bestfightodds.com/events/ufc-3441,35955,Jose Medina,Zach Reese,/fighters/jose-medina-3601,/fighters/zach-reese-16353,"('jose medina', 'zach reese')",unmatched,0
ufc-3415,UFC,2024-09-07,https://www.bestfightodds.com/events/ufc-3415,35960,Ovince St. Preux,Ryan Spann,/fighters/ovince-st-preux-1788,/fighters/ryan-spann-3502,"('ovince st preux', 'ryan spann')",unmatched,0
ufc-3415,UFC,2024-09-07,https://www.bestfightodds.com/events/ufc-3415,36203,Gabriel Santos,Zha Yi,/fighters/gabriel-santos-14703,/fighters/zha-yi-13926,"('gabriel santos', 'zha yi')",unmatched,0
ufc-306-3399,UFC 306,2024-09-14,https://www.bestfightodds.com/events/ufc-306-3399,36166,Qileng Aori,Raul Rosas Jr.,/fighters/qileng-aori-10837,/fighters/raul-rosas-jr-14661,"('qileng aori', 'raul rosas jr')",unmatched,0
ufc-3500,UFC,2024-10-12,https://www.bestfightodds.com/events/ufc-3500,36649,Abdul Razak Alhassan,Josh Fremd,/fighters/abdul-razak-alhassan-4724,/fighters/josh-fremd-7675,"('abdul razak alhassan', 'josh fremd')",unmatched,0
ufc-3500,UFC,2024-10-12,https://www.bestfightodds.com/events/ufc-3500,36732,Chris Barnett,Junior Tafa,/fighters/chris-barnett-3234,/fighters/junior-tafa-14832,"('chris barnett', 'jr tafa')",unmatched,0
ufc-3513,UFC,2024-10-19,https://www.bestfightodds.com/events/ufc-3513,36776,Charles Johnson,Sumudaerji Sumudaerji,/fighters/charles-johnson-7494,/fighters/sumudaerji-sumudaerji-8746,"('charles johnson', 'sumudaerji sumudaerji')",unmatched,0
ufc-3513,UFC,2024-10-19,https://www.bestfightodds.com/events/ufc-3513,36778,Brady Hiestand,Jake Hadley,/fighters/brady-hiestand-12231,/fighters/jake-hadley-9411,"('brady hiestand', 'jake hadley')",unmatched,0
ufc-3412,UFC,2024-10-26,https://www.bestfightodds.com/events/ufc-3412,36892,Carlos Leal Miranda,Rinat Fakhretdinov,/fighters/carlos-leal-miranda-7744,/fighters/rinat-fakhretdinov-13557,"('carlos leal miranda', 'rinat fakhretdinov')",unmatched,0
ufc-3412,UFC,2024-10-26,https://www.bestfightodds.com/events/ufc-3412,36882,Junior Tafa,Kennedy Nzechukwu,/fighters/junior-tafa-14832,/fighters/kennedy-nzechukwu-7454,"('jr tafa', 'kennedy nzechukwu')",unmatched,0
ufc-3412,UFC,2024-10-26,https://www.bestfightodds.com/events/ufc-3412,36914,Daniel Santos,Said Nurmagomedov,/fighters/daniel-santos-6038,/fighters/said-nurmagomedov-8192,"('daniel santos', 'said nurmagomedov')",unmatched,0
ufc-fight-night-3436,UFC Fight Night,2024-11-03,https://www.bestfightodds.com/events/ufc-fight-night-3436,36948,Ariane Lipski,Jasmine Jasudavicius,/fighters/ariane-lipski-6053,/fighters/jasmine-jasudavicius-9869,"('ariane lipski', 'jasmine jasudavicius')",unmatched,0
ufc-3537,UFC,2024-11-10,https://www.bestfightodds.com/events/ufc-3537,37048,Benardo Sopaj,Ricky Turcios,/fighters/benardo-sopaj-18721,/fighters/ricky-turcios-4236,"('benardo sopaj', 'ricky turcios')",unmatched,0
ufc-3476,UFC,2024-11-17,https://www.bestfightodds.com/events/ufc-3476,37031,Chris Weidman,Eryk Anders,/fighters/chris-weidman-2309,/fighters/eryk-anders-6686,"('chris weidman', 'eryk anders')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37143,Tabatha Ricci,Xiaonan Yan,/fighters/tabatha-ricci-10312,/fighters/xiaonan-yan-9148,"('tabatha ricci', 'xiaonan yan')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37144,Kenan Song,Muslim Salikhov,/fighters/kenan-song-7731,/fighters/muslim-salikhov-7701,"('kenan song', 'muslim salikhov')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37145,Cong Wang,Gabriella Fernandes,/fighters/cong-wang-16644,/fighters/gabriella-fernandes-14517,"('cong wang', 'gabriella fernandes')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37150,Mingyang Zhang,Ozzy Diaz,/fighters/mingyang-zhang-13918,/fighters/ozzy-diaz-10407,"('mingyang zhang', 'ozzy diaz')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37146,Balgyn Jenisuly,Su Young You,/fighters/balgyn-jenisuly-17670,/fighters/su-young-you-17656,"('balgyn jenisuly', 'su young you')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37151,Ming Shi,Xiaocan Feng,/fighters/ming-shi-17668,/fighters/xiaocan-feng-17665,"('ming shi', 'xiaocan feng')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37153,Long Xiao,Quang Le,/fighters/long-xiao-12717,/fighters/quang-le-12547,"('long xiao', 'quang le')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37149,Maheshate Hayisaer,Nikolas Motta,/fighters/maheshate-hayisaer-18770,/fighters/nikolas-motta-9314,"('maheshate hayisaer', 'nikolas motta')",unmatched,0
ufc-3549,UFC,2024-11-23,https://www.bestfightodds.com/events/ufc-3549,37155,Bin Xie,Kangjie Zhu,/fighters/bin-xie-12716,/fighters/kangjie-zhu-17657,"('bin xie', 'kangjie zhu')",unmatched,0
ufc-3522,UFC,2024-12-08,https://www.bestfightodds.com/events/ufc-3522,36854,Belal Muhammad,Shavkat Rakhmonov,/fighters/belal-muhammad-3777,/fighters/shavkat-rakhmonov-9925,"('belal muhammad', 'shavkat rakhmonov')",unmatched,0
ufc-3522,UFC,2024-12-08,https://www.bestfightodds.com/events/ufc-3522,36852,Nick Diaz,Vicente Luque,/fighters/nick-diaz-229,/fighters/vicente-luque-5744,"('nick diaz', 'vicente luque')",unmatched,0
ufc-fight-night-3593,UFC Fight Night,2025-01-11,https://www.bestfightodds.com/events/ufc-fight-night-3593,37539,Andreas Gustafsson,Preston Parsons,/fighters/andreas-gustafsson-8971,/fighters/preston-parsons-6472,"('andreas gustafsson', 'preston parsons')",unmatched,0
ufc-fight-night-3593,UFC Fight Night,2025-01-11,https://www.bestfightodds.com/events/ufc-fight-night-3593,37587,Nurullo Aliev,Yanal Ashmoz,/fighters/nurullo-aliev-11078,/fighters/yanal-ashmoz-12728,"('nurullo aliev', 'yanal ashmoz')",unmatched,0
ufc-3570,UFC,2025-01-19,https://www.bestfightodds.com/events/ufc-3570,37385,Arman Tsarukyan,Islam Makhachev,/fighters/arman-tsarukyan-9034,/fighters/islam-makhachev-5541,"('arman tsarukyan', 'islam makhachev')",unmatched,0
ufc-3570,UFC,2025-01-19,https://www.bestfightodds.com/events/ufc-3570,37433,Beneil Dariush,Renato Moicano,/fighters/beneil-dariush-4633,/fighters/renato-moicano-5598,"('beneil dariush', 'renato moicano')",unmatched,0
ufc-3570,UFC,2025-01-19,https://www.bestfightodds.com/events/ufc-3570,37683,Sedriques Dumas,Zachary Reese,/fighters/sedriques-dumas-12309,/fighters/zachary-reese-14747,"('sedriques dumas', 'zachary reese')",unmatched,0
ufc-3592,UFC,2025-02-01,https://www.bestfightodds.com/events/ufc-3592,37602,Andre Muniz,Ikram Aliskerov,/fighters/andre-muniz-8538,/fighters/ikram-aliskerov-10994,"('andre muniz', 'ikram aliskerov')",unmatched,0
ufc-3592,UFC,2025-02-01,https://www.bestfightodds.com/events/ufc-3592,37669,Abdul-Kareem Al-Selwady,Jordan Leavitt,/fighters/abdul-kareem-al-selwady-10295,/fighters/jordan-leavitt-10210,"('abdul kareem al selwady', 'jordan leavitt')",unmatched,0
ufc-3592,UFC,2025-02-01,https://www.bestfightodds.com/events/ufc-3592,37752,Abdul-Kareem Al-Selwady,Bolaji Oki,/fighters/abdul-kareem-al-selwady-10295,/fighters/bolaji-oki-16406,"('abdul kareem al selwady', 'bolaji oki')",unmatched,0
ufc-3626,UFC,2025-02-09,https://www.bestfightodds.com/events/ufc-3626,37779,Jim Crute,Rodolfo Bellato,/fighters/jim-crute-8036,/fighters/rodolfo-bellato-11728,"('jim crute', 'rodolfo bellato')",unmatched,0
ufc-3626,UFC,2025-02-09,https://www.bestfightodds.com/events/ufc-3626,37781,Bruna Brasil,Cong Wang,/fighters/bruna-brasil-13778,/fighters/cong-wang-16644,"('bruna brasil', 'cong wang')",unmatched,0
ufc-3604,UFC,2025-02-22,https://www.bestfightodds.com/events/ufc-3604,37673,Dominick Cruz,Rob Font,/fighters/dominick-cruz-660,/fighters/rob-font-4984,"('dominick cruz', 'rob font')",unmatched,0
ufc-313-3650,UFC 313,2025-03-08,https://www.bestfightodds.com/events/ufc-313-3650,37739,Daniel Hooker,Justin Gaethje,/fighters/daniel-hooker-4979,/fighters/justin-gaethje-3964,"('daniel hooker', 'justin gaethje')",unmatched,0
ufc-3612,UFC,2025-03-09,https://www.bestfightodds.com/events/ufc-3612,37676,Curtis Blaydes,Rizvan Kuniev,/fighters/curtis-blaydes-5732,/fighters/rizvan-kuniev-12573,"('curtis blaydes', 'rizvan kuniev')",unmatched,0
ufc-3612,UFC,2025-03-09,https://www.bestfightodds.com/events/ufc-3612,38046,Alex Morono,Carlos Leal Miranda,/fighters/alex-morono-2727,/fighters/carlos-leal-miranda-7744,"('alex morono', 'carlos leal miranda')",unmatched,0
ufc-3612,UFC,2025-03-09,https://www.bestfightodds.com/events/ufc-3612,38092,Chris Gutierrez,John Castaneda,/fighters/chris-gutierrez-4725,/fighters/john-castaneda-7396,"('chris gutierrez', 'john castaneda')",unmatched,0
ufc-3578,UFC,2025-03-22,https://www.bestfightodds.com/events/ufc-3578,37737,Jack Della Maddalena,Leon Edwards,/fighters/jack-della-maddalena-7492,/fighters/leon-edwards-4608,"('jack della maddalena', 'leon edwards')",unmatched,0
